Generated by http://statistics.gov.scot,2022-08-01T11:46:37+00:00,
http://statistics.gov.scot/id/statistical-geography/S01010867,"Gourock East, Greenock West and Lyle Road - 05",10
http://statistics.gov.scot/id/statistical-geography/S01010868,"Gourock East, Greenock West and Lyle Road - 06",14
http://statistics.gov.scot/id/statistical-geography/S01010869,"Gourock East, Greenock West and Lyle Road - 07",10
http://statistics.gov.scot/id/statistical-geography/S01010836,Gourock Upper and West Central and Upper Larkfield - 01,10
http://statistics.gov.scot/id/statistical-geography/S01010837,Gourock Upper and West Central and Upper Larkfield - 02,8
http://statistics.gov.scot/id/statistical-geography/S01010838,Gourock Upper and West Central and Upper Larkfield - 03,11
http://statistics.gov.scot/id/statistical-geography/S01010839,Gourock Upper and West Central and Upper Larkfield - 04,16
http://statistics.gov.scot/id/statistical-geography/S01010840,Gourock Upper and West Central and Upper Larkfield - 05,19
http://statistics.gov.scot/id/statistical-geography/S01010841,Gourock Upper and West Central and Upper Larkfield - 06,19
http://statistics.gov.scot/id/statistical-geography/S01009841,Govan and Linthouse - 01,20
http://statistics.gov.scot/id/statistical-geography/S01009842,Govan and Linthouse - 02,20
http://statistics.gov.scot/id/statistical-geography/S01009843,Govan and Linthouse - 03,16
http://statistics.gov.scot/id/statistical-geography/S01009844,Govan and Linthouse - 04,20
http://statistics.gov.scot/id/statistical-geography/S01009845,Govan and Linthouse - 05,19
http://statistics.gov.scot/id/statistical-geography/S01009846,Govan and Linthouse - 06,17
http://statistics.gov.scot/id/statistical-geography/S01009847,Govan and Linthouse - 07,16
http://statistics.gov.scot/id/statistical-geography/S01009894,Govanhill East and Aikenhead - 01,20
http://statistics.gov.scot/id/statistical-geography/S01009895,Govanhill East and Aikenhead - 02,18
http://statistics.gov.scot/id/statistical-geography/S01009896,Govanhill East and Aikenhead - 03,18
http://statistics.gov.scot/id/statistical-geography/S01009897,Govanhill East and Aikenhead - 04,19
http://statistics.gov.scot/id/statistical-geography/S01009898,Govanhill East and Aikenhead - 05,17
http://statistics.gov.scot/id/statistical-geography/S01009887,Govanhill West - 01,19
http://statistics.gov.scot/id/statistical-geography/S01009888,Govanhill West - 02,20
http://statistics.gov.scot/id/statistical-geography/S01009889,Govanhill West - 03,20
http://statistics.gov.scot/id/statistical-geography/S01009890,Govanhill West - 04,20
http://statistics.gov.scot/id/statistical-geography/S01009891,Govanhill West - 05,20
http://statistics.gov.scot/id/statistical-geography/S01009892,Govanhill West - 06,20
http://statistics.gov.scot/id/statistical-geography/S01009893,Govanhill West - 07,20
http://statistics.gov.scot/id/statistical-geography/S01009277,Gowkhall and Landward,2
http://statistics.gov.scot/id/statistical-geography/S01008553,"Gracemount, Southhouse and Burdiehouse - 01",16
http://statistics.gov.scot/id/statistical-geography/S01008554,"Gracemount, Southhouse and Burdiehouse - 02",9
http://statistics.gov.scot/id/statistical-geography/S01008555,"Gracemount, Southhouse and Burdiehouse - 03",13
http://statistics.gov.scot/id/statistical-geography/S01008556,"Gracemount, Southhouse and Burdiehouse - 04",15
http://statistics.gov.scot/id/statistical-geography/S01008557,"Gracemount, Southhouse and Burdiehouse - 05",15
http://statistics.gov.scot/id/statistical-geography/S01008558,"Gracemount, Southhouse and Burdiehouse - 06",14
http://statistics.gov.scot/id/statistical-geography/S01008017,"Grange, Howard and Gargieston - 01",10
http://statistics.gov.scot/id/statistical-geography/S01008018,"Grange, Howard and Gargieston - 02",8
http://statistics.gov.scot/id/statistical-geography/S01008019,"Grange, Howard and Gargieston - 03",18
http://statistics.gov.scot/id/statistical-geography/S01008020,"Grange, Howard and Gargieston - 04",12
http://statistics.gov.scot/id/statistical-geography/S01008021,"Grange, Howard and Gargieston - 05",13
http://statistics.gov.scot/id/statistical-geography/S01008022,"Grange, Howard and Gargieston - 06",7
http://statistics.gov.scot/id/statistical-geography/S01008023,"Grange, Howard and Gargieston - 07",5
http://statistics.gov.scot/id/statistical-geography/S01008024,"Grange, Howard and Gargieston - 08",2
http://statistics.gov.scot/id/statistical-geography/S01009238,Grangemouth - Bowhouse - 01,4
http://statistics.gov.scot/id/statistical-geography/S01009239,Grangemouth - Bowhouse - 02,8
http://statistics.gov.scot/id/statistical-geography/S01009240,Grangemouth - Bowhouse - 03,14
http://statistics.gov.scot/id/statistical-geography/S01009241,Grangemouth - Bowhouse - 04,11
http://statistics.gov.scot/id/statistical-geography/S01009242,Grangemouth - Bowhouse - 05,10
http://statistics.gov.scot/id/statistical-geography/S01009232,Grangemouth - Kersiebank - 01,16
http://statistics.gov.scot/id/statistical-geography/S01009233,Grangemouth - Kersiebank - 02,20
http://statistics.gov.scot/id/statistical-geography/S01009234,Grangemouth - Kersiebank - 03,17
http://statistics.gov.scot/id/statistical-geography/S01009235,Grangemouth - Kersiebank - 04,17
http://statistics.gov.scot/id/statistical-geography/S01009236,Grangemouth - Kersiebank - 05,18
http://statistics.gov.scot/id/statistical-geography/S01009237,Grangemouth - Kersiebank - 06,17
http://statistics.gov.scot/id/statistical-geography/S01009219,Grangemouth - Newlands - 01,5
http://statistics.gov.scot/id/statistical-geography/S01009220,Grangemouth - Newlands - 02,7
http://statistics.gov.scot/id/statistical-geography/S01009221,Grangemouth - Newlands - 03,13
http://statistics.gov.scot/id/statistical-geography/S01009222,Grangemouth - Newlands - 04,9
http://statistics.gov.scot/id/statistical-geography/S01009223,Grangemouth - Newlands - 05,12
http://statistics.gov.scot/id/statistical-geography/S01009224,Grangemouth - Newlands - 06,10
http://statistics.gov.scot/id/statistical-geography/S01009225,Grangemouth - Newlands - 07,9
http://statistics.gov.scot/id/statistical-geography/S01009226,Grangemouth - Newlands - 08,10
http://statistics.gov.scot/id/statistical-geography/S01009227,Grangemouth - Town Centre - 01,14
http://statistics.gov.scot/id/statistical-geography/S01009228,Grangemouth - Town Centre - 02,14
http://statistics.gov.scot/id/statistical-geography/S01009229,Grangemouth - Town Centre - 03,17
http://statistics.gov.scot/id/statistical-geography/S01009230,Grangemouth - Town Centre - 04,15
http://statistics.gov.scot/id/statistical-geography/S01009231,Grangemouth - Town Centre - 05,9
http://statistics.gov.scot/id/statistical-geography/S01008916,Granton South and Wardieburn - 01,13
http://statistics.gov.scot/id/statistical-geography/S01008917,Granton South and Wardieburn - 02,16
http://statistics.gov.scot/id/statistical-geography/S01008918,Granton South and Wardieburn - 03,14
http://statistics.gov.scot/id/statistical-geography/S01008919,Granton South and Wardieburn - 04,11
http://statistics.gov.scot/id/statistical-geography/S01008924,Granton West and Salvesen - 01,17
http://statistics.gov.scot/id/statistical-geography/S01008925,Granton West and Salvesen - 02,14
http://statistics.gov.scot/id/statistical-geography/S01008926,Granton West and Salvesen - 03,20
http://statistics.gov.scot/id/statistical-geography/S01008927,Granton West and Salvesen - 04,18
http://statistics.gov.scot/id/statistical-geography/S01008928,Granton West and Salvesen - 05,15
http://statistics.gov.scot/id/statistical-geography/S01008920,Granton and Royston Mains - 01,7
http://statistics.gov.scot/id/statistical-geography/S01008921,Granton and Royston Mains - 02,17
http://statistics.gov.scot/id/statistical-geography/S01008922,Granton and Royston Mains - 03,17
http://statistics.gov.scot/id/statistical-geography/S01008923,Granton and Royston Mains - 04,20
http://statistics.gov.scot/id/statistical-geography/S01008785,Great Junction Street - 01,19
http://statistics.gov.scot/id/statistical-geography/S01008786,Great Junction Street - 02,20
http://statistics.gov.scot/id/statistical-geography/S01008787,Great Junction Street - 03,19
http://statistics.gov.scot/id/statistical-geography/S01008788,Great Junction Street - 04,20
http://statistics.gov.scot/id/statistical-geography/S01008789,Great Junction Street - 05,19
http://statistics.gov.scot/id/statistical-geography/S01008790,Great Junction Street - 06,20
http://statistics.gov.scot/id/statistical-geography/S01008791,Great Junction Street - 07,16
http://statistics.gov.scot/id/statistical-geography/S01007315,Greater Lochgilphead - 01,16
http://statistics.gov.scot/id/statistical-geography/S01007316,Greater Lochgilphead - 02,18
http://statistics.gov.scot/id/statistical-geography/S01007317,Greater Lochgilphead - 03,4
http://statistics.gov.scot/id/statistical-geography/S01007318,Greater Lochgilphead - 04,3
http://statistics.gov.scot/id/statistical-geography/S01007319,Greater Lochgilphead - 05,5
http://statistics.gov.scot/id/statistical-geography/S01008519,Greenbank and The Braids - 01,9
http://statistics.gov.scot/id/statistical-geography/S01008520,Greenbank and The Braids - 02,8
http://statistics.gov.scot/id/statistical-geography/S01008521,Greenbank and The Braids - 03,5
http://statistics.gov.scot/id/statistical-geography/S01008522,Greenbank and The Braids - 04,4
http://statistics.gov.scot/id/statistical-geography/S01008523,Greenbank and The Braids - 05,3
http://statistics.gov.scot/id/statistical-geography/S01011606,Greenend and Carnbroe - 01,2
http://statistics.gov.scot/id/statistical-geography/S01011607,Greenend and Carnbroe - 02,3
http://statistics.gov.scot/id/statistical-geography/S01011608,Greenend and Carnbroe - 03,3
http://statistics.gov.scot/id/statistical-geography/S01011609,Greenend and Carnbroe - 04,10
http://statistics.gov.scot/id/statistical-geography/S01011610,Greenend and Carnbroe - 05,7
http://statistics.gov.scot/id/statistical-geography/S01011611,Greenend and Carnbroe - 06,3
http://statistics.gov.scot/id/statistical-geography/S01011612,Greenend and Carnbroe - 07,3
http://statistics.gov.scot/id/statistical-geography/S01011734,Greenfaulds - 01,9
http://statistics.gov.scot/id/statistical-geography/S01011735,Greenfaulds - 02,15
http://statistics.gov.scot/id/statistical-geography/S01011736,Greenfaulds - 03,14
http://statistics.gov.scot/id/statistical-geography/S01011737,Greenfaulds - 04,16
http://statistics.gov.scot/id/statistical-geography/S01011738,Greenfaulds - 05,9
http://statistics.gov.scot/id/statistical-geography/S01010131,Greenfield - 01,18
http://statistics.gov.scot/id/statistical-geography/S01010132,Greenfield - 02,16
http://statistics.gov.scot/id/statistical-geography/S01010133,Greenfield - 03,15
http://statistics.gov.scot/id/statistical-geography/S01010134,Greenfield - 04,18
http://statistics.gov.scot/id/statistical-geography/S01010135,Greenfield - 05,16
http://statistics.gov.scot/id/statistical-geography/S01010136,Greenfield - 06,20
http://statistics.gov.scot/id/statistical-geography/S01012975,Greenhills - 01,11
http://statistics.gov.scot/id/statistical-geography/S01012976,Greenhills - 02,16
http://statistics.gov.scot/id/statistical-geography/S01012977,Greenhills - 03,10
http://statistics.gov.scot/id/statistical-geography/S01012978,Greenhills - 04,14
http://statistics.gov.scot/id/statistical-geography/S01012979,Greenhills - 05,9
http://statistics.gov.scot/id/statistical-geography/S01012300,Greenlaw,13
http://statistics.gov.scot/id/statistical-geography/S01010898,Greenock East - 01,3
http://statistics.gov.scot/id/statistical-geography/S01010899,Greenock East - 02,2
http://statistics.gov.scot/id/statistical-geography/S01010900,Greenock East - 03,4
http://statistics.gov.scot/id/statistical-geography/S01010901,Greenock East - 04,4
http://statistics.gov.scot/id/statistical-geography/S01010902,Greenock East - 05,6
http://statistics.gov.scot/id/statistical-geography/S01010903,Greenock East - 06,8
http://statistics.gov.scot/id/statistical-geography/S01010904,Greenock East - 07,9
http://statistics.gov.scot/id/statistical-geography/S01010905,Greenock East - 08,6
http://statistics.gov.scot/id/statistical-geography/S01010906,Greenock East - 09,6
http://statistics.gov.scot/id/statistical-geography/S01010890,Greenock Town Centre and East Central - 01,20
http://statistics.gov.scot/id/statistical-geography/S01010891,Greenock Town Centre and East Central - 02,18
http://statistics.gov.scot/id/statistical-geography/S01010892,Greenock Town Centre and East Central - 03,19
http://statistics.gov.scot/id/statistical-geography/S01010893,Greenock Town Centre and East Central - 04,14
http://statistics.gov.scot/id/statistical-geography/S01010894,Greenock Town Centre and East Central - 05,7
http://statistics.gov.scot/id/statistical-geography/S01010895,Greenock Town Centre and East Central - 06,7
http://statistics.gov.scot/id/statistical-geography/S01010896,Greenock Town Centre and East Central - 07,5
http://statistics.gov.scot/id/statistical-geography/S01010897,Greenock Town Centre and East Central - 08,3
http://statistics.gov.scot/id/statistical-geography/S01010884,Greenock Upper Central - 01,19
http://statistics.gov.scot/id/statistical-geography/S01010885,Greenock Upper Central - 02,15
http://statistics.gov.scot/id/statistical-geography/S01010886,Greenock Upper Central - 03,18
http://statistics.gov.scot/id/statistical-geography/S01010887,Greenock Upper Central - 04,19
http://statistics.gov.scot/id/statistical-geography/S01010888,Greenock Upper Central - 05,19
http://statistics.gov.scot/id/statistical-geography/S01010889,Greenock Upper Central - 06,20
http://statistics.gov.scot/id/statistical-geography/S01010870,Greenock West and Central - 01,13
http://statistics.gov.scot/id/statistical-geography/S01010871,Greenock West and Central - 02,18
http://statistics.gov.scot/id/statistical-geography/S01010872,Greenock West and Central - 03,20
http://statistics.gov.scot/id/statistical-geography/S01010873,Greenock West and Central - 04,20
http://statistics.gov.scot/id/statistical-geography/S01010874,Greenock West and Central - 05,19
http://statistics.gov.scot/id/statistical-geography/S01010875,Greenock West and Central - 06,20
http://statistics.gov.scot/id/statistical-geography/S01010876,Greenock West and Central - 07,18
http://statistics.gov.scot/id/statistical-geography/S01010877,Greenock West and Central - 08,14
http://statistics.gov.scot/id/statistical-geography/S01007676,Gretna - 01,2
http://statistics.gov.scot/id/statistical-geography/S01007677,Gretna - 02,13
http://statistics.gov.scot/id/statistical-geography/S01007678,Gretna - 03,20
http://statistics.gov.scot/id/statistical-geography/S01007679,Gretna - 04,15
http://statistics.gov.scot/id/statistical-geography/S01007680,Gretna - 05,17
http://statistics.gov.scot/id/statistical-geography/S01007681,Gretna - 06,15
http://statistics.gov.scot/id/statistical-geography/S01009738,Guardbridge,4
http://statistics.gov.scot/id/statistical-geography/S01011956,"Guildtown, Balbeggie and St Madoes - 01",3
http://statistics.gov.scot/id/statistical-geography/S01011957,"Guildtown, Balbeggie and St Madoes - 02",2
http://statistics.gov.scot/id/statistical-geography/S01011958,"Guildtown, Balbeggie and St Madoes - 03",2
http://statistics.gov.scot/id/statistical-geography/S01011959,"Guildtown, Balbeggie and St Madoes - 04",1
http://statistics.gov.scot/id/statistical-geography/S01008262,Gullane and Drem - 01,1
http://statistics.gov.scot/id/statistical-geography/S01008263,Gullane and Drem - 02,4
http://statistics.gov.scot/id/statistical-geography/S01008264,Gullane and Drem - 03,5
http://statistics.gov.scot/id/statistical-geography/S01008265,Gullane and Drem - 04,6
http://statistics.gov.scot/id/statistical-geography/S01008266,Gullane and Drem - 05,5
http://statistics.gov.scot/id/statistical-geography/S01008267,Gullane and Drem - 06,2
http://statistics.gov.scot/id/statistical-geography/S01008251,Haddington North - 01,4
http://statistics.gov.scot/id/statistical-geography/S01008252,Haddington North - 02,10
http://statistics.gov.scot/id/statistical-geography/S01008253,Haddington North - 03,12
http://statistics.gov.scot/id/statistical-geography/S01008254,Haddington North - 04,17
http://statistics.gov.scot/id/statistical-geography/S01008255,Haddington North - 05,13
http://statistics.gov.scot/id/statistical-geography/S01008245,Haddington Rural - 01,4
http://statistics.gov.scot/id/statistical-geography/S01008246,Haddington Rural - 02,3
http://statistics.gov.scot/id/statistical-geography/S01008247,Haddington Rural - 03,1
http://statistics.gov.scot/id/statistical-geography/S01008248,Haddington Rural - 04,2
http://statistics.gov.scot/id/statistical-geography/S01008249,Haddington Rural - 05,1
http://statistics.gov.scot/id/statistical-geography/S01008250,Haddington Rural - 06,2
http://statistics.gov.scot/id/statistical-geography/S01008256,Haddington South - 01,11
http://statistics.gov.scot/id/statistical-geography/S01008257,Haddington South - 02,19
http://statistics.gov.scot/id/statistical-geography/S01008258,Haddington South - 03,8
http://statistics.gov.scot/id/statistical-geography/S01008259,Haddington South - 04,14
http://statistics.gov.scot/id/statistical-geography/S01008260,Haddington South - 05,11
http://statistics.gov.scot/id/statistical-geography/S01008261,Haddington South - 06,6
http://statistics.gov.scot/id/statistical-geography/S01012953,Hairmyres and Westwood West - 01,6
http://statistics.gov.scot/id/statistical-geography/S01012954,Hairmyres and Westwood West - 02,8
http://statistics.gov.scot/id/statistical-geography/S01012955,Hairmyres and Westwood West - 03,4
http://statistics.gov.scot/id/statistical-geography/S01012956,Hairmyres and Westwood West - 04,16
http://statistics.gov.scot/id/statistical-geography/S01012957,Hairmyres and Westwood West - 05,9
http://statistics.gov.scot/id/statistical-geography/S01009404,Halbeath,9
http://statistics.gov.scot/id/statistical-geography/S01012814,"Halfway, Hallside and Drumsagard - 01",5
http://statistics.gov.scot/id/statistical-geography/S01012815,"Halfway, Hallside and Drumsagard - 02",6
http://statistics.gov.scot/id/statistical-geography/S01012816,"Halfway, Hallside and Drumsagard - 03",5
http://statistics.gov.scot/id/statistical-geography/S01012817,"Halfway, Hallside and Drumsagard - 04",4
http://statistics.gov.scot/id/statistical-geography/S01012818,"Halfway, Hallside and Drumsagard - 05",5
http://statistics.gov.scot/id/statistical-geography/S01012819,"Halfway, Hallside and Drumsagard - 06",11
http://statistics.gov.scot/id/statistical-geography/S01012820,"Halfway, Hallside and Drumsagard - 07",3
http://statistics.gov.scot/id/statistical-geography/S01009177,Hallglen and Glen Village - 01,3
http://statistics.gov.scot/id/statistical-geography/S01009178,Hallglen and Glen Village - 02,3
http://statistics.gov.scot/id/statistical-geography/S01009179,Hallglen and Glen Village - 03,3
http://statistics.gov.scot/id/statistical-geography/S01009180,Hallglen and Glen Village - 04,4
http://statistics.gov.scot/id/statistical-geography/S01009729,Hallow Hill,9
http://statistics.gov.scot/id/statistical-geography/S01009728,Hallow Hill South,5
http://statistics.gov.scot/id/statistical-geography/S01012716,Hamilton Centre and Low Parks - 01,10
http://statistics.gov.scot/id/statistical-geography/S01012717,Hamilton Centre and Low Parks - 02,18
http://statistics.gov.scot/id/statistical-geography/S01012718,Hamilton Centre and Low Parks - 03,17
http://statistics.gov.scot/id/statistical-geography/S01012719,Hamilton Centre and Low Parks - 04,12
http://statistics.gov.scot/id/statistical-geography/S01012720,Hamilton Centre and Low Parks - 05,11
http://statistics.gov.scot/id/statistical-geography/S01006641,Hanover North - 01,19
http://statistics.gov.scot/id/statistical-geography/S01006642,Hanover North - 02,17
http://statistics.gov.scot/id/statistical-geography/S01006643,Hanover North - 03,17
http://statistics.gov.scot/id/statistical-geography/S01006644,Hanover North - 04,13
http://statistics.gov.scot/id/statistical-geography/S01006637,Hanover South - 01,11
http://statistics.gov.scot/id/statistical-geography/S01006638,Hanover South - 02,20
http://statistics.gov.scot/id/statistical-geography/S01006639,Hanover South - 03,18
http://statistics.gov.scot/id/statistical-geography/S01006640,Hanover South - 04,15
http://statistics.gov.scot/id/statistical-geography/S01012665,Hareleeshill - 01,12
http://statistics.gov.scot/id/statistical-geography/S01012666,Hareleeshill - 02,11
http://statistics.gov.scot/id/statistical-geography/S01012667,Hareleeshill - 03,13
http://statistics.gov.scot/id/statistical-geography/S01012668,Hareleeshill - 04,18
http://statistics.gov.scot/id/statistical-geography/S01012669,Hareleeshill - 05,15
http://statistics.gov.scot/id/statistical-geography/S01012670,Hareleeshill - 06,20
http://statistics.gov.scot/id/statistical-geography/S01008149,Harestanes - 01,5
http://statistics.gov.scot/id/statistical-geography/S01008150,Harestanes - 02,6
http://statistics.gov.scot/id/statistical-geography/S01008151,Harestanes - 03,10
http://statistics.gov.scot/id/statistical-geography/S01008152,Harestanes - 04,9
http://statistics.gov.scot/id/statistical-geography/S01009023,Harris - 01,1
http://statistics.gov.scot/id/statistical-geography/S01009024,Harris - 02,1
http://statistics.gov.scot/id/statistical-geography/S01011439,Harthill and Salsburgh - 01,7
http://statistics.gov.scot/id/statistical-geography/S01011440,Harthill and Salsburgh - 02,16
http://statistics.gov.scot/id/statistical-geography/S01011441,Harthill and Salsburgh - 03,17
http://statistics.gov.scot/id/statistical-geography/S01011442,Harthill and Salsburgh - 04,20
http://statistics.gov.scot/id/statistical-geography/S01011443,Harthill and Salsburgh - 05,17
http://statistics.gov.scot/id/statistical-geography/S01011444,Harthill and Salsburgh - 06,7
http://statistics.gov.scot/id/statistical-geography/S01011445,Harthill and Salsburgh - 07,10
http://statistics.gov.scot/id/statistical-geography/S01011446,Harthill and Salsburgh - 08,3
http://statistics.gov.scot/id/statistical-geography/S01011525,Hattonrigg - 01,8
http://statistics.gov.scot/id/statistical-geography/S01011526,Hattonrigg - 02,9
http://statistics.gov.scot/id/statistical-geography/S01011527,Hattonrigg - 03,10
http://statistics.gov.scot/id/statistical-geography/S01012360,Hawick - Burnfoot - Central,8
http://statistics.gov.scot/id/statistical-geography/S01012362,Hawick - Burnfoot - North,6
http://statistics.gov.scot/id/statistical-geography/S01012359,Hawick - Burnfoot - South East,7
http://statistics.gov.scot/id/statistical-geography/S01012361,Hawick - Burnfoot - West,4
http://statistics.gov.scot/id/statistical-geography/S01012370,Hawick Central - Drumlanrig,10
http://statistics.gov.scot/id/statistical-geography/S01012365,Hawick Central - Millers Knowes,15
http://statistics.gov.scot/id/statistical-geography/S01012366,Hawick Central - Town Centre,19
http://statistics.gov.scot/id/statistical-geography/S01012364,Hawick Central - Trinity,18
http://statistics.gov.scot/id/statistical-geography/S01012367,Hawick Central - Weensland,9
http://statistics.gov.scot/id/statistical-geography/S01012363,Hawick Central - Wellogate,18
http://statistics.gov.scot/id/statistical-geography/S01012372,Hawick North - Commercial Road,17
http://statistics.gov.scot/id/statistical-geography/S01012375,Hawick North - Silverbuthall,6
http://statistics.gov.scot/id/statistical-geography/S01012374,Hawick North - Stirtches,5
http://statistics.gov.scot/id/statistical-geography/S01012373,Hawick North - Wilton Hill,10
http://statistics.gov.scot/id/statistical-geography/S01012371,Hawick West End - Crumhaugh,17
http://statistics.gov.scot/id/statistical-geography/S01012369,Hawick West End - Crumhaughill and Parkdaill,9
http://statistics.gov.scot/id/statistical-geography/S01012368,Hawick West End - Wilton Dean,4
http://statistics.gov.scot/id/statistical-geography/S01009523,Hayfield North,17
http://statistics.gov.scot/id/statistical-geography/S01009525,Hayfield South,16
http://statistics.gov.scot/id/statistical-geography/S01012632,Hazelbank and Kirkfieldbank - 01,3
http://statistics.gov.scot/id/statistical-geography/S01012633,Hazelbank and Kirkfieldbank - 02,2
http://statistics.gov.scot/id/statistical-geography/S01012634,Hazelbank and Kirkfieldbank - 03,3
http://statistics.gov.scot/id/statistical-geography/S01012635,Hazelbank and Kirkfieldbank - 04,3
http://statistics.gov.scot/id/statistical-geography/S01012636,Hazelbank and Kirkfieldbank - 05,2
http://statistics.gov.scot/id/statistical-geography/S01006547,Hazlehead - 01,2
http://statistics.gov.scot/id/statistical-geography/S01006548,Hazlehead - 02,4
http://statistics.gov.scot/id/statistical-geography/S01006549,Hazlehead - 03,7
http://statistics.gov.scot/id/statistical-geography/S01006550,Hazlehead - 04,6
http://statistics.gov.scot/id/statistical-geography/S01006551,Hazlehead - 05,6
http://statistics.gov.scot/id/statistical-geography/S01006552,Hazlehead - 06,5
http://statistics.gov.scot/id/statistical-geography/S01009067,Head of Muir and Dennyloanhead - 01,9
http://statistics.gov.scot/id/statistical-geography/S01009068,Head of Muir and Dennyloanhead - 02,9
http://statistics.gov.scot/id/statistical-geography/S01009069,Head of Muir and Dennyloanhead - 03,4
http://statistics.gov.scot/id/statistical-geography/S01009070,Head of Muir and Dennyloanhead - 04,13
http://statistics.gov.scot/id/statistical-geography/S01009305,Headwell Central,12
http://statistics.gov.scot/id/statistical-geography/S01009302,Headwell East,12
http://statistics.gov.scot/id/statistical-geography/S01009304,Headwell North,8
http://statistics.gov.scot/id/statistical-geography/S01009306,Headwell South West,15
http://statistics.gov.scot/id/statistical-geography/S01012512,Heathfield - 01,13
http://statistics.gov.scot/id/statistical-geography/S01012513,Heathfield - 02,5
http://statistics.gov.scot/id/statistical-geography/S01012514,Heathfield - 03,3
http://statistics.gov.scot/id/statistical-geography/S01012515,Heathfield - 04,13
http://statistics.gov.scot/id/statistical-geography/S01012516,Heathfield - 05,7
http://statistics.gov.scot/id/statistical-geography/S01012517,Heathfield - 06,5
http://statistics.gov.scot/id/statistical-geography/S01007622,Heathhall - 01,13
http://statistics.gov.scot/id/statistical-geography/S01007623,Heathhall - 02,9
http://statistics.gov.scot/id/statistical-geography/S01007624,Heathhall - 03,4
http://statistics.gov.scot/id/statistical-geography/S01007625,Heathhall - 04,5
http://statistics.gov.scot/id/statistical-geography/S01007626,Heathhall - 05,3
http://statistics.gov.scot/id/statistical-geography/S01006726,Heathryfold and Middlefield - 01,13
http://statistics.gov.scot/id/statistical-geography/S01006727,Heathryfold and Middlefield - 02,15
http://statistics.gov.scot/id/statistical-geography/S01006728,Heathryfold and Middlefield - 03,6
http://statistics.gov.scot/id/statistical-geography/S01006729,Heathryfold and Middlefield - 04,12
http://statistics.gov.scot/id/statistical-geography/S01006730,Heathryfold and Middlefield - 05,6
http://statistics.gov.scot/id/statistical-geography/S01006731,Heathryfold and Middlefield - 06,6
http://statistics.gov.scot/id/statistical-geography/S01011091,"Heldon West, Fogwatt to Inchberry - 01",1
http://statistics.gov.scot/id/statistical-geography/S01011092,"Heldon West, Fogwatt to Inchberry - 02",4
http://statistics.gov.scot/id/statistical-geography/S01011093,"Heldon West, Fogwatt to Inchberry - 03",2
http://statistics.gov.scot/id/statistical-geography/S01011094,"Heldon West, Fogwatt to Inchberry - 04",2
http://statistics.gov.scot/id/statistical-geography/S01011095,"Heldon West, Fogwatt to Inchberry - 05",1
http://statistics.gov.scot/id/statistical-geography/S01007394,Helensburgh Centre - 01,16
http://statistics.gov.scot/id/statistical-geography/S01007395,Helensburgh Centre - 02,20
http://statistics.gov.scot/id/statistical-geography/S01007396,Helensburgh Centre - 03,19
http://statistics.gov.scot/id/statistical-geography/S01007397,Helensburgh Centre - 04,14
http://statistics.gov.scot/id/statistical-geography/S01007398,Helensburgh East - 01,8
http://statistics.gov.scot/id/statistical-geography/S01007399,Helensburgh East - 02,10
http://statistics.gov.scot/id/statistical-geography/S01007400,Helensburgh East - 03,14
http://statistics.gov.scot/id/statistical-geography/S01007401,Helensburgh East - 04,7
http://statistics.gov.scot/id/statistical-geography/S01007402,Helensburgh East - 05,6
http://statistics.gov.scot/id/statistical-geography/S01007403,Helensburgh East - 06,4
http://statistics.gov.scot/id/statistical-geography/S01007387,Helensburgh North - 01,5
http://statistics.gov.scot/id/statistical-geography/S01007388,Helensburgh North - 02,5
http://statistics.gov.scot/id/statistical-geography/S01007389,Helensburgh North - 03,5
http://statistics.gov.scot/id/statistical-geography/S01007390,Helensburgh North - 04,9
http://statistics.gov.scot/id/statistical-geography/S01007391,Helensburgh North - 05,6
http://statistics.gov.scot/id/statistical-geography/S01007392,Helensburgh North - 06,12
http://statistics.gov.scot/id/statistical-geography/S01007393,Helensburgh North - 07,18
http://statistics.gov.scot/id/statistical-geography/S01007381,Helensburgh West and Rhu - 01,2
http://statistics.gov.scot/id/statistical-geography/S01007382,Helensburgh West and Rhu - 02,3
http://statistics.gov.scot/id/statistical-geography/S01007383,Helensburgh West and Rhu - 03,3
http://statistics.gov.scot/id/statistical-geography/S01007384,Helensburgh West and Rhu - 04,6
http://statistics.gov.scot/id/statistical-geography/S01007385,Helensburgh West and Rhu - 05,9
http://statistics.gov.scot/id/statistical-geography/S01007386,Helensburgh West and Rhu - 06,6
http://statistics.gov.scot/id/statistical-geography/S01012271,Heriot - Fountainhall - Stow Landward,1
http://statistics.gov.scot/id/statistical-geography/S01012752,High Blantyre - 01,9
http://statistics.gov.scot/id/statistical-geography/S01012753,High Blantyre - 02,14
http://statistics.gov.scot/id/statistical-geography/S01012754,High Blantyre - 03,16
http://statistics.gov.scot/id/statistical-geography/S01012755,High Blantyre - 04,19
http://statistics.gov.scot/id/statistical-geography/S01012756,High Blantyre - 05,13
http://statistics.gov.scot/id/statistical-geography/S01012757,High Blantyre - 06,16
http://statistics.gov.scot/id/statistical-geography/S01012758,High Blantyre - 07,14
http://statistics.gov.scot/id/statistical-geography/S01009083,High Bonnybridge and Greenhill - 01,5
http://statistics.gov.scot/id/statistical-geography/S01009084,High Bonnybridge and Greenhill - 02,2
